Ano;Cultura;Espécie;Estado;Área..ha.
31/12/2015;Eucalipto;Eucalipto;Paraná;285125
31/12/2015;Eucalipto;Eucalipto;Maranhão;210496
31/12/2015;Eucalipto;Eucalipto;Mato Grosso;185219
31/12/2015;Eucalipto;Eucalipto;Pará;130431
31/12/2015;Eucalipto;Eucalipto;Goiás;127201
31/12/2015;Eucalipto;Eucalipto;Tocantins;116365
31/12/2015;Eucalipto;Eucalipto;Santa Catarina;116250
31/12/2015;Eucalipto;Eucalipto;Amapá;63026
31/12/2015;Eucalipto;Eucalipto;Piauí;29333
31/12/2015;Eucalipto;Eucalipto;Outros;19358
31/12/2016;Eucalipto;Eucalipto;Minas Gerais;1390032
31/12/2016;Eucalipto;Eucalipto;São Paulo;946124
31/12/2016;Eucalipto;Eucalipto;Mato Grosso do Sul;877795
31/12/2016;Eucalipto;Eucalipto;Bahia;612199
31/12/2016;Eucalipto;Eucalipto;Rio Grande do Sul;308178
31/12/2016;Eucalipto;Eucalipto;Espírito Santo;233760
31/12/2016;Eucalipto;Eucalipto;Paraná;294050
31/12/2016;Eucalipto;Eucalipto;Maranhão;221859
31/12/2016;Eucalipto;Eucalipto;Mato Grosso;185219
31/12/2016;Eucalipto;Eucalipto;Pará;133996
31/12/2016;Eucalipto;Eucalipto;Goiás;127201
31/12/2016;Eucalipto;Eucalipto;Tocantins;116798
31/12/2016;Eucalipto;Eucalipto;Santa Catarina;116240
31/12/2016;Eucalipto;Eucalipto;Amapá;65026
31/12/2016;Eucalipto;Eucalipto;Piauí;26068
31/12/2016;Eucalipto;Eucalipto;Outros;19239
31/12/2010;Pinus;Pinus;Paraná;686509
31/12/2010;Pinus;Pinus;Santa Catarina;545592
31/12/2010;Pinus;Pinus;Rio Grande do Sul;168955
31/12/2010;Pinus;Pinus;São Paulo;162005
31/12/2010;Pinus;Pinus;Minas Gerais;136310
31/12/2010;Pinus;Pinus;Goiás;12160
31/12/2010;Pinus;Pinus;Mato Grosso do Sul;13847
31/12/2010;Pinus;Pinus;Bahia;26570
31/12/2010;Pinus;Pinus;Espírito Santo;3546
31/12/2010;Pinus;Pinus;Tocantins;850
31/12/2010;Pinus;Pinus;Amapá;15
31/12/2011;Pinus;Pinus;Paraná;658707
31/12/2011;Pinus;Pinus;Santa Catarina;538254
31/12/2011;Pinus;Pinus;Rio Grande do Sul;164806
31/12/2011;Pinus;Pinus;São Paulo;156726
31/12/2011;Pinus;Pinus;Minas Gerais;75408
31/12/2011;Pinus;Pinus;Goiás;10760
31/12/2011;Pinus;Pinus;Mato Grosso do Sul;11871
31/12/2011;Pinus;Pinus;Bahia;21520
31/12/2011;Pinus;Pinus;Espírito Santo;2546
31/12/2011;Pinus;Pinus;Tocantins;850
31/12/2011;Pinus;Pinus;Amapá;445
31/12/2012;Pinus;Pinus;Paraná;619731
31/12/2012;Pinus;Pinus;Santa Catarina;539377
31/12/2012;Pinus;Pinus;Rio Grande do Sul;164832
31/12/2012;Pinus;Pinus;São Paulo;144802
31/12/2012;Pinus;Pinus;Minas Gerais;52710
31/12/2012;Pinus;Pinus;Goiás;16432
31/12/2012;Pinus;Pinus;Mato Grosso do Sul;9825
31/12/2012;Pinus;Pinus;Bahia;11230
31/12/2012;Pinus;Pinus;Espírito Santo;2546
31/12/2012;Pinus;Pinus;Tocantins;853
31/12/2012;Pinus;Pinus;Amapá;445
31/12/2013;Pinus;Pinus;Paraná;662296
31/12/2013;Pinus;Pinus;Santa Catarina;540542
31/12/2013;Pinus;Pinus;Rio Grande do Sul;164174
31/12/2013;Pinus;Pinus;São Paulo;127693
31/12/2013;Pinus;Pinus;Minas Gerais;46807
31/12/2013;Pinus;Pinus;Goiás;9151
31/12/2013;Pinus;Pinus;Mato Grosso do Sul;8330
31/12/2013;Pinus;Pinus;Bahia;7298
31/12/2013;Pinus;Pinus;Espírito Santo;2801
31/12/2013;Pinus;Pinus;Tocantins;609
31/12/2013;Pinus;Pinus;Amapá;445
31/12/2014;Pinus;Pinus;Paraná;673769
31/12/2014;Pinus;Pinus;Santa Catarina;541162
31/12/2014;Pinus;Pinus;Rio Grande do Sul;184585
31/12/2014;Pinus;Pinus;São Paulo;123996
31/12/2014;Pinus;Pinus;Minas Gerais;39674
31/12/2014;Pinus;Pinus;Goiás;9087
31/12/2014;Pinus;Pinus;Mato Grosso do Sul;7135
31/12/2014;Pinus;Pinus;Bahia;6499
31/12/2014;Pinus;Pinus;Espírito Santo;2660
31/12/2014;Pinus;Pinus;Tocantins;430
31/12/2014;Pinus;Pinus;Amapá;NA
31/12/2015;Pinus;Pinus;Paraná;670906
31/12/2015;Pinus;Pinus;Santa Catarina;542662
31/12/2015;Pinus;Pinus;Rio Grande do Sul;184603
31/12/2015;Pinus;Pinus;São Paulo;124222
31/12/2015;Pinus;Pinus;Minas Gerais;37636
31/12/2015;Pinus;Pinus;Goiás;8569
31/12/2015;Pinus;Pinus;Mato Grosso do Sul;6292
31/12/2015;Pinus;Pinus;Bahia;3371
31/12/2015;Pinus;Pinus;Espírito Santo;2713
31/12/2015;Pinus;Pinus;Tocantins;265
31/12/2015;Pinus;Pinus;Amapá;NA
31/12/2016;Pinus;Pinus;Paraná;672607
31/12/2016;Pinus;Pinus;Santa Catarina;545835
31/12/2016;Pinus;Pinus;Rio Grande do Sul;184595
31/12/2016;Pinus;Pinus;São Paulo;124179
31/12/2016;Pinus;Pinus;Minas Gerais;36764
31/12/2016;Pinus;Pinus;Goiás;8500
31/12/2016;Pinus;Pinus;Mato Grosso do Sul;5852
31/12/2016;Pinus;Pinus;Bahia;3301
31/12/2016;Pinus;Pinus;Espírito Santo;2500
31/12/2016;Pinus;Pinus;Tocantins;200
31/12/2016;Pinus;Pinus;Amapá;NA
31/12/2010;Outras culturas;Seringueira;Não informado;159500
31/12/2010;Outras culturas;Acácia;Não informado;127600
31/12/2010;Outras culturas;Teca;Não informado;65440
31/12/2010;Outras culturas;Paricá;Não informado;85470
31/12/2010;Outras culturas;Araucária;Não informado;11190
31/12/2010;Outras culturas;Pópulus;Não informado;4221
31/12/2010;Outras culturas;Outras;Não informado;8969
31/12/2011;Outras culturas;Seringueira;Não informado;165648
31/12/2011;Outras culturas;Acácia;Não informado;146813
31/12/2011;Outras culturas;Teca;Não informado;67693
31/12/2011;Outras culturas;Paricá;Não informado;85473
31/12/2011;Outras culturas;Araucária;Não informado;11179
31/12/2011;Outras culturas;Pópulus;Não informado;4220
31/12/2011;Outras culturas;Outras;Não informado;8256
31/12/2012;Outras culturas;Seringueira;Não informado;168848
31/12/2012;Outras culturas;Acácia;Não informado;148311
31/12/2012;Outras culturas;Teca;Não informado;67329
31/12/2012;Outras culturas;Paricá;Não informado;87901
31/12/2012;Outras culturas;Araucária;Não informado;11343
31/12/2012;Outras culturas;Pópulus;Não informado;4216
31/12/2012;Outras culturas;Outras;Não informado;33183
31/12/2013;Outras culturas;Seringueira;Não informado;172448
31/12/2013;Outras culturas;Acácia;Não informado;146903
31/12/2013;Outras culturas;Teca;Não informado;88270
31/12/2013;Outras culturas;Paricá;Não informado;87519
31/12/2013;Outras culturas;Araucária;Não informado;11360
31/12/2013;Outras culturas;Pópulus;Não informado;4216
31/12/2013;Outras culturas;Outras;Não informado;46937
